answer,correct_answer,score,length
Adam Sandler,Adam Sandler,1.0,12
Adam Sandler,Adam Sandler,1.0,12
AdamS andler,Adam Sandler,0.92,12
Agam Sandler,Adam Sandler,0.92,12
Adam Sanlder,Adam Sandler,0.92,12
Adm Sandler,Adam Sandler,0.96,11
Adam Sander,Adam Sandler,0.96,11
Acam Sandler,Adam Sandler,0.92,12
Adam aSndler,Adam Sandler,0.92,12
Adam Sawndler,Adam Sandler,0.96,13
Adam Sandlre,Adam Sandler,0.92,12
Adam Sandljr,Adam Sandler,0.92,12
Adam Sanduer,Adam Sandler,0.92,12
Adma Sandler,Adam Sandler,0.92,12
Adam Saneler,Adam Sandler,0.92,12
Adam Sandler,Adam Sandler,1.0,12
Adam Sangler,Adam Sandler,0.92,12
Adalm Sandler,Adam Sandler,0.96,13
Adam Sandleyr,Adam Sandler,0.96,13
Adam apndler,Adam Sandler,0.92,12
Adam dandler,Adam Sandler,0.92,12
Adam bandler,Adam Sandler,0.92,12
Addam Sandller,Adam Sandler,0.92,14
Adam Sandler,Adam Sandler,1.0,12
Adam Sandaer,Adam Sandler,0.92,12
Adam Sandlew,Adam Sandler,0.92,12
Adam bSankdler,Adam Sandler,0.92,14
Adam Sandoleyr,Adam Sandler,0.92,14
Adam Sandler,Adam Sandler,1.0,12
Adam fandler,Adam Sandler,0.92,12
Adam Sandler,Adam Sandler,1.0,12
Adam Sandler,Adam Sandler,1.0,12
Awam Sandler,Adam Sandler,0.92,12
vAdam Sandler,Adam Sandler,0.96,13
Adam Sandler,Adam Sandler,1.0,12
Ajam Sandler,Adam Sandler,0.92,12
Adam Sandler,Adam Sandler,1.0,12
Adam Sandler,Adam Sandler,1.0,12
Adasm Sandler,Adam Sandler,0.96,13
Adam Sandler,Adam Sandler,1.0,12
Adamf Sandler,Adam Sandler,0.96,13
Adamn Sandler,Adam Sandler,0.96,13
Adam Sandlar,Adam Sandler,0.92,12
vAdam Sanddler,Adam Sandler,0.92,14
Adam Svandler,Adam Sandler,0.96,13
Adam Sandler,Adam Sandler,1.0,12
Adam Sandler,Adam Sandler,1.0,12
Adajm Sandler,Adam Sandler,0.96,13
Adam Sandller,Adam Sandler,0.96,13
dam Sandler,Adam Sandler,0.96,11
Adam andler,Adam Sandler,0.96,11
Adam Sandler,Adam Sandler,1.0,12
AdamSandler,Adam Sandler,0.96,11
Adam Sndler,Adam Sandler,0.96,11
Adpm Sandler,Adam Sandler,0.92,12
Adam Sandyler,Adam Sandler,0.96,13
Ada mSandler,Adam Sandler,0.92,12
Adam Sanddller,Adam Sandler,0.92,14
Adam Sandl,Adam Sandler,0.91,10
Adam Sanedler,Adam Sandler,0.96,13
Adam Sanydler,Adam Sandler,0.96,13
Addam Sandler,Adam Sandler,0.96,13
Adam Sanddler,Adam Sandler,0.96,13
Adam Sandlaer,Adam Sandler,0.96,13
Adam Sandlr,Adam Sandler,0.96,11
AdamqSandler,Adam Sandler,0.92,12
Adawm Sadler,Adam Sandler,0.92,12
Adam Sandlewr,Adam Sandler,0.96,13
Adm Sndler,Adam Sandler,0.91,10
Adam Sandler,Adam Sandler,1.0,12
Adam Snler,Adam Sandler,0.91,10
Adam nSandler,Adam Sandler,0.96,13
Adam zSandler,Adam Sandler,0.96,13
Adam Sandjler,Adam Sandler,0.96,13
Adhm Sandler,Adam Sandler,0.92,12
jdam Sandler,Adam Sandler,0.92,12
Adam Sendler,Adam Sandler,0.92,12
Adam Sgndler,Adam Sandler,0.92,12
Adam Snadler,Adam Sandler,0.92,12
Adam Sader,Adam Sandler,0.91,10
Adam Sandler,Adam Sandler,1.0,12
Adam Sandleir,Adam Sandler,0.96,13
zdam Sandler,Adam Sandler,0.92,12
cdam Sandler,Adam Sandler,0.92,12
